team,runs
"Detroit Tigers",671
"Baltimore Orioles",579
"Cleveland Indians",516
"Boston Red Sox",614
"New York Yankees",536
"Oakland Athletics",569
"Minnesota Twins",562
"California Angels",498
"Chicago White Sox",463
"Washington Senators",524
"St. Louis Cardinals",583
"San Francisco Giants",599
"Chicago Cubs",612
"Cincinnati Reds",690
"Atlanta Braves",514
"Pittsburgh Pirates",583
"Philadelphia Phillies",543
"Los Angeles Dodgers",470
"New York Mets",473
"Houston Astros",510
