institution,sat,state,enrollment,cccu
"Massachusetts Institute of Technology",1540,MA,11254,N
"Messiah College",1200,PA,3370,N
"Miami University",1270,OH,18880,N
"Michigan State University",1200,MI,49695,N
"Michigan Tech University",1260,MI,6873,N
"Middlebury College",1430,VT,2669,N
"Milligan College",1198,TN,0,Y
"Millikin University",1050,IL,1982,N
"Montana State University",1210,MT,16218,N
"Montreat College",1030,NC,950,Y
"Mount Holyoke College",1390,MA,2040,N
"Mount Vernon Nazarene University",1120,OH,2140,Y
"Muhlenberg College",1260,PA,2067
"New College Franklin",0,TN,0,N
"New York University",1460,NY,52775,N
"New Saint Andrews College",1280,ID,221,N
"North Carolina State University",1320,N
"North Central Michigan College",0,MI,1748,N
"North Central University",1050,MN,1062,Y
"North Park University",1030,IL,2831,Y
"Northeastern University",1480,MA,22905,N
"Northern Michigan University",1050,MI,7368,N
"Northwest University",1110,WA,1184,Y
"Northwestern College",1110,IA,1496,Y
"Northwestern Michigan College",0,MI,3278,N
"Northwestern University",1490,IL,22603,N
"Northwood University",1090,MI,2541,N
"Oakland University",1100,MI,18552,N
"Oberlin College",1320,OH,2658,N
"Ohio Northern University",1210,OH,2817,N
"Ohio State University",1320,OH,61369,N
"Ohio University",1150,OH,25714,N
"Ohio Wesleyan University",1160,OH,1426,N
"Oklahoma Baptist University",1110,OK,1763,Y
"Oklahoma Christian University",1140,OK,2055,Y
"Oklahoma State University",1140,OK,24535,N
"Olin College of Engineering",1500,MA,310,N
"Olivet College",1010,MI,1023,N
"Olivet Nazarene University",1080,IL,3764,Y
"Oral Roberts University",1100,OK,4317,Y
"Oregon State University",1200,OR,32312,N
"Oregon University",1190,OR,21752,N
"Otterbein University",1110,OH,2652,N
"Patrick Henry College",1310,VA,380,N
"Pennsylvania State University",1265,PA,46810,N
"Pensacola Christian College",1000,FL,4500,N
"Pepperdine University",1310,CA,9554,N
"Point Loma Nazarene University",1200,CA,4616,Y
"Pomona College",1465,CA,1475,N
"Princeton University",1510,NJ,7853,N
"Purdue University",1300,IN,46655,N
"Regent University",1080,VA,10483,Y
"Rensselaer Polytechnic Institute",1400,NY,7501,N
"Rhode Island School of Design",1360,RI,2227,N
"Rhodes College",1310,TN,1875,N
"Rice University",1520,TX,7643,N
"Roberts Wesleyan College",1140,NY,1706,Y
"Rose Hulman Institute",1360,IN,1990,N
"Rutgers University",1300,NJ,50411,N
"Saginaw Valley State University",1080,MI,8028,N
"St. Louis University",1270,MO,12229,N
"St. Lawrence University",1270,NY,2319,N
"St. Mary's College",1160,IN,1581,N
"St. Joseph University",1200,PA,6779,N
"St. Olaf College",1270,MN,2953,N
"Samford University",1150,AL,5729,N
"San Diego Christian College",1000,CA,512,Y
"San Diego State University",1200,CA,36334,N
"Sarah Lawrence College",1320,NY,1506,N
"Sattler College",0,MA,75,N
"Seattle University",1230,WA,7050,N
"Seattle Pacific University",1085,WA,3601,Y
"Seton Hall University",1230,NJ,9814,N
"Simpson University",1070,CA,855,Y
"Skidmore College",1310,NY,2582,N
"South Dakota State University",1250,SD,11405,N
"Southeastern University",1080,FL,9546,Y
"Southern Methodist University",1350,TX,12373,N
"Southwest Baptist University",1050,MO,3039,Y
"Southwestern University",1210,TX,1506,N
"Spring Arbor University",1090,MI,3118,Y
"Stanford University",1500,CA,15953,N
"SUNY Binghamton",1370,NY,18148,N
"Stony Brook University",1340,NY,26782,N
"Swarthmore College",1470,PA,1437,N
"Syracuse University",1275,NY,21322,N
"Taylor University",1188,IN,2110,Y
"Temple University",1238,PA,37236,N
"Texas A&M University",1270,TX,70418,N
"Texas Christian University",1220,TX,11379,N
"Texas Tech University",1160,TX,40322,N
"Thomas Aquinas College",1290,CA,462,N
"Trine University",1110,IN,3573,N
"Trinity Christian College",1080,IL,1086,Y
"Trinity International University",1010,IL,1454,Y
"Trinity University",1340,TX,2677,N
"Truman State University",1210,MO,4655,N
"Tufts University",1460,MA,12219,N
"Tulane University",1420,LA,13927,N
"US Air Force Academy",1330,CO,4307,N
"US Naval Academy",1340,MD,4594,N
"US Military Academy",1330,NY,4536,N
"US Coast Guard Academy",1310,CN,1056,N
"University of Alabama",1200,AL,37840,N
"University of Alabama Tuscaloosa",1200,AL,37840,N
"University of Akron",1110,OH,16094,N
"University of Arizona",1220,AZ,45601,N
"University of Arkansas",1190,AR,27562,N
"University of California Berkeley",1420,CA,42327,N
"University of California Davis",1280,CA,39074,N
"University of California Irvine",1330,CA,36303,N
"University of California Riverside",1180,CA,26434,N
"University of California San Diego",1380,CA,39576,N
"University of California Santa Barbara",1350,CA,26179,N
"University of California Santa Cruz",1260,CA,19161,N
"University of Central Florida",1250,FL,71881,N
"University of Chicago",1540,IL,17834,N
"University of Cincinnati",1230,OH,40826,N
"University of Colorado Boulder",1240,CO,37437,N
"University of Connecticut",1280,CT,27215,N
"University of Dallas",1240,TX,2489,N
"University of Dayton",1190,OH,11650,N
"University of Detroit Mercy",1160,MI,4987,N
"University of Findlay",1120,OH,4829,N
"University of Florida",1380,FL,53372,N
"University of Georgia",1360,GA,39147,N
"University of Hawaii",1180,HI,18025,N
"University of Houston",1220,TX,47090,N
"University of Idaho",1110,ID,10791,N
"University of Illinois",1330,IL,52679,N
"University of Kansas",1200,KS,26744,N
"University of Kentucky",1180,KY,29986,N
"University of Iowa",1210,IA,30318,N
"University of Louisville",1160,KY,22211,N
"University of Maryland",1380,MD,40709,N
"University of Massachusetts Amherst",1290,MA,31642,N
"University of Miami",1340,FL,17809,N
"University of Michigan",1430,MI,47907,N
"University of Minnesota",1350,MN,52017,N
"University of Montana",1150,MT,9808,N
"University of Mount Union",1060,OH,2178,N
"University of Nebraska",1220,NE,25108,N
"University of Nevada Las Vegas",1140,NV,31142,N
"University of North Carolina",1390,NC,30092,N
"University of North Florida",1140,FL,16926,N
"University of North Texas",1150,TX,40953,N
"University of Notre Dame",1480,IN,12809,N
"University of Oklahoma",1200,OK,27772,N
"University of Pennsylvania",1520,PA,26552,N
"University of Pittsburgh",1330,PA,32277,N
"University of Redlands",1140,CA,4566,N
"University of Rhode Island",1180,RI,17649,N
"University of Rochester",1420,NY,11741,N
"University of South Florida",1240,FL,50626,N
"University of Southern California",1440,CA,46287,N
"University of Tennessee",1220,TN,30559,N
"University of Texas Arlington",1150,TX,48072,N
"University of Texas San Antonio",1120,TX,34742,N
"University of Toledo",1100,OH,18319,N
"University of Utah",1240,UT,33081,N
"University of Vermont",1260,VT,13292,N
"University of Virginia",1420,VA,25628,N
"University of Washington Seattle",1330,WA,48149,N
"University of West Florida",1150,FL,13061,N
"University of Wisconsin Madison",1360,WI,44640,N
"University of Wyoming",1140,WY,11829,N
"Ursinus College",1240,PA,1493,N
"Utah State University",1200,UT,27691,N
"Valparaiso University",1180,IN,3122,N
"Vanderbilt University",1520,TN,13537,N
"Vassar College",1440,NY,2435,N
"Villanova University",1390,PA,11032,N
"Virginia Commonwealth University",1160,VA,29070,N
"Virginia Military Institute",1170,VA,1698,N
"Virginia Tech",1270,VA,37024,N
"Wabash College",1220,IN,868,N
"Wake Forest University",1390,NC,8789,N
"Washington and Lee University",1430,VA,2183,N
"Washington State University",1120,WA,31159,N
"Washington University",1520,MS,15449,N
"Wayne State University",1100,MI,26241,N
"Wellesley College",1437,MA,2280,N
"West Virginia University",1130,WV,26269,N
"Western Michigan University",1120,MI,19887,N
