"Green?"
F
S
S
F
F
F
F
F
F
F
F
F
F
S
F
F
F
F
S
F
F
F
S
S
S
S
F
F
F
S
F
F
F
S
F
F
F
F
F
F
F
F
S
F
S
F
F
S
F
F
F
F
S
S
F
F
F
F
F
F
F
S
F
S
F
F
S
F
F
S
F
F
F
F
F
S
F
S
F
F
F
F
F
F
F
S
S
F
S
F
S
S
F
F
F
F
F
S
F
F
S
S
F
F
F
S
S
F
F
S
F
F
F
F
F
F
F
F
F
F
F
F
S
F
F
F
F
F
F
F
F
S
S
F
F
F
F
S
F
F
S
S
F
S
F
F
S
F
F
F
F
F
F
F
F
F
S
F
F
S
F
F
F
F
F
F
F
F
S
S
F
F
S
F
S
F
F
F
S
S
S
S
F
F
F
F
F
S
F
F
F
F
S
F
F
F
F
S
F
S
S
F
S
F
F
F
F
F
F
S
F
S
F
F
F
S
F
S
S
F
S
F
F
F
S
F
F
S
S
F
F
S
F
F
F
F
S
S
F
F
F
F
F
F
F
F
F
F
F
S
F
S
S
F
S
F
F
S
S
F
F
F
F
S
F
S
F
F
F
F
F
F
F
F
S
S
F
F
S
F
S
S
S
F
S
F
S
F
S
S
F
F
F
F
F
F
S
F
S
F
F
F
F
S
F
F
F
S
S
S
S
F
F
F
F
F
F
S
F
F
F
F
S
F
F
S
F
F
F
S
F
F
S
S
F
S
S
F
S
S
F
F
S
F
S
F
F
F
F
S
F
F
S
F
S
F
F
F
F
F
F
F
S
F
F
S
S
F
S
F
F
F
F
F
F
F
F
S
S
S
S
F
F
F
F
F
F
F
F
F
S
F
F
F
S
S
F
F
F
F
F
F
F
F
S
F
F
F
F
F
S
F
F
F
S
F
F
S
F
F
F
F
F
F
F
F
F
F
F
S
S
F
F
F
F
F
F
F
S
F
S
F
F
F
F
F
F
F
F
S
S
F
F
F
F
F
F
F
F
F
F
F
F
S
S
F
S
F
F
F
F
F
F
F
F
F
S
F
S
F
S
S
F
F
S
F
F
F
F
F
F
S
F
F
F
F
F
F
S
S
F
F
S
F
F
S
