"eDate","activityThatMinute"
"21-Aug","Strength"
"21-Aug","Strength"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
"21-Aug","Yoga"
