seconds
17467
13913
21915
11907
14838
12206
21168
11218
14472
11681
14853
15903
10928
12519
11512
10886
14088
19394
12301
12891
12195
13533
16727
18250
12922
13062
13687
17614
14769
12329
19299
12704
18036
15620
12323
13780
13716
21036
14773
13041
16273
11864
11477
13208
14380
18977
12626
12674
11816
13788
