"time"
2757.19
13919.75
35594.1
3102.25
15316.48
35903.19
3240.43
16150.24
40021.46
3713.2
17590.2
40543.68
5898.51
17876.31
42495.09
6099.14
18145.34
42553.87
6684.78
19902.13
45175.93
7524.79
22816.75
47265.92
7858.42
23722.54
48509.09
8684.12
24657.61
49647.02
9370.01
24792.63
50160.6
9756.67
25355.02
66443.7
11195.26
26388.59
85504.71
12489.98
29123.38
85557.6
13343.47
32192.75
13839.49
32500.02
