FT-PCT
0.706
0.739
0.657
0.619
0.629
0.694
0.647
0.798
0.701
0.525
0.687
0.81
0.724
0.947
0.545
0.636
0.783
0.604
0.738
0.466
0.643
0.81
0.643
0.615
0.824
0.8
0.71
0.758
0.889
0.9
0.545
0.68
0.84
0.533
0.682
0.583
0.667
0.769
0.75
0.768
0.917
0.792
0.81
0.816
0.731
0.538
0.658
0.786
0.643
0.6
0.625
0.722
0.623
0.65
0.615
0.63
0.692
0.778
0.917
0.636
0.667
0.714
0.833
0.721
0.816
0.463
0.5
0.543
0.743
0.459
0.583
