Sec,Write,Spoon,Fold,Sex,Class,Sleep,Cash,Color,SorQ,Speed,Width,SheetCol,SheetSorQ
G,R,R,L,M,F,6,27,B,Q,150,9,,S
G,R,R,L,M,R,7.5,4,R,Q,97,10,,S
G,R,R,R,F,S,7,0,G,Q,90,9,,Q
G,R,R,L,M,S,8.5,14,G,Q,115,10,,Q
G,R,R,L,F,F,7,0,B,Q,85,8,,S
G,R,R,L,F,S,6,0,B,Q,101,9,,S
G,R,R,R,F,S,7.5,0,B,Q,80,9,,Q
G,R,R,R,F,F,6,0,B,S,105,10,,S
G,R,R,L,M,S,7,0,G,S,85,9,,Q
G,R,R,R,M,F,7,0,B,S,100,8,,S
G,R,R,R,M,F,8,0,B,S,120,10,,Q
G,R,R,R,F,S,7.5,0,G,S,90,9,,S
G,R,R,R,M,S,7,0,R,Q,112,10,,Q
G,R,R,R,M,S,7.5,21,B,,25,10,,Q
G,R,R,L,M,J,6.5,0,B,S,152,10,,S
