time
37
59
140
80
18
24
36
14
24
89
15
48
16
49
16
46
28
26
15
14
39
24
53
31
10
18
64
58
9
37
53
9
17
18
32
46
16
92
19
16
39
50
49
58
54
58
30
73
11
53
12
13
7
34
13
31
19
87
28
37
