Age,lx,dx,Patx,Condatx,Liveatx,Pbyx,Pto70,Pto100
70,67503,2199,0.0220,0.0326,0.6750,0.3470,1,0.00965883
71,65304,2322,0.0232,0.0356,0.6530,0.3702,,0.009984074
72,62982,2398,0.0240,0.0381,0.6298,0.3942,,0.010352164
73,60584,2558,0.0256,0.0422,0.6058,0.4197,,0.010761917
74,58026,2628,0.0263,0.0453,0.5803,0.4460,,0.011236342
75,55398,2704,0.0270,0.0488,0.5540,0.4731,,0.011769378
76,52693,2784,0.0278,0.0528,0.5269,0.5009,,0.01237356
77,49910,2866,0.0287,0.0574,0.4991,0.5296,,0.013063514
78,47044,2896,0.0290,0.0616,0.4704,0.5585,,0.013859366
79,44148,2935,0.0294,0.0665,0.4415,0.5879,,0.014768506
80,41214,3099,0.0310,0.0752,0.4121,0.6189,,0.015819867
81,38115,3158,0.0316,0.0829,0.3811,0.6504,,0.017106126
82,34957,3169,0.0317,0.0907,0.3496,0.6821,,0.018651486
83,31789,3139,0.0314,0.0987,0.3179,0.7135,,0.020510239
84,28649,3090,0.0309,0.1079,0.2865,0.7444,,0.022758211
85,25559,3122,0.0312,0.1221,0.2556,0.7756,,0.025509605
86,22437,2951,0.0295,0.1315,0.2244,0.8052,,0.029059143
87,19486,2743,0.0274,0.1408,0.1949,0.8326,,0.03345992
88,16742,2536,0.0254,0.1515,0.1674,0.8579,,0.038943973
89,14206,2327,0.0233,0.1638,0.1421,0.8812,,0.0458961
90,11880,2100,0.0210,0.1768,0.1188,0.9022,,0.054882155
91,9779,1874,0.0187,0.1916,0.0978,0.9210,,0.066673484
92,7905,1645,0.0165,0.2081,0.0791,0.9374,,0.082479443
93,6260,1411,0.0141,0.2254,0.0626,0.9515,,0.104153355
94,4849,1178,0.0118,0.2429,0.0485,0.9633,,0.134460714
95,3671,945,0.0095,0.2574,0.0367,0.9727,,0.177608281
96,2726,748,0.0075,0.2744,0.0273,0.9802,,0.239178283
97,1978,577,0.0058,0.2917,0.0198,0.9860,,0.329625885
98,1401,433,0.0043,0.3091,0.0140,0.9903,,0.46538187
99,968,316,0.0032,0.3264,0.0097,0.9935,,0.673553719
100,652,225,0.0023,0.3451,0.0065,0.9957,,1
101,427,155,0.0016,0.3630,0.0043,0.9973,,
102,272,103,0.0010,0.3787,0.0027,0.9983,,
103,169,67,0.0007,0.3964,0.0017,0.9990,,
104,102,42,0.0004,0.4118,0.0010,0.9994,,
105,60,26,0.0003,0.4333,0.0006,0.9997,,
106,34,15,0.0002,0.4412,0.0003,0.9998,,
107,19,9,0.0001,0.4737,0.0002,0.9999,,
108,10,5,0.0001,0.5000,0.0001,1.0000,,
109,5,3,0.0000,0.6000,0.0001,1.0000,,
110,2,2,0.0000,1.0000,0.0000,1.0000,,
