Wind
14
11
10
13
11
11
26
21
14
13
10
10
13
10
13
13
12
12
13
17
11
11
13
25
15
18
13
17
12
14
15
10
16
17
17
13
18
14
12
20
11
14
20
16
12
14
18
17
13
16
13
16
11
13
11
15
13
15
16
18
14
15
15
14
14
16
15
18
14
16
14
10
17
14
12
18
13
12
18
13
12
16
18
13
13
14
18
17
12
24
30
18
22
18
14
16
14
36
35
26
24
21
14
16
24
20
16
20
15
22
16
13
20
13
13
12
16
20
12
15
13
15
15
14
13
18
17
13
14
14
13
14
17
12
16
10
15
12
13
15
18
16
14
18
17
14
18
20
11
12
13
12
13
18
13
14
13
13
14
13
13
12
12
18
15
23
15
15
15
13
18
17
12
14
21
17
12
15
12
14
13
17
18
18
17
12
11
11
13
11
13
12
12
14
16
16
15
14
16
17
15
17
15
14
13
14
18
17
16
12
12
21
18
13
13
12
11
10
16
13
18
16
12
13
18
14
13
13
11
11
14
12
14
12
13
17
15
15
12
12
14
17
17
15
12
11
12
12
12
20
18
17
17
17
18
21
18
12
18
15
18
13
22
24
18
16
11
14
14
18
14
18
15
18
20
15
16
10
13
10
11
17
18
15
11
15
11
15
18
11
13
18
17
15
15
20
12
14
13
12
14
13
17
18
17
12
14
20
18
9
15
15
16
11
10
11
9
18
15
18
24
16
16
14
8
30
17
14
23
18
14
14
12
9
13
11
13
10
18
11
12
9
13
21
11
15
20
18
17
16
8
15
12
12
13
26
9
8
18
13
12
12
34
15
18
18
14
16
12
17
16
13
10
13
15
13
13
14
14
12
23
13
11
12
16
14
12
16
7
13
11
25
15
9
28
12
12
16
13
17
20
14
24
16
11
25
25
14
18
14
16
17
15
16
20
20
15
16
15
14
14
23
18
16
21
31
12
17
16
20
16
20
18
15
12
15
18
14
15
18
17
12
15
11
10
11
22
28
16
15
16
18
13
20
15
14
18
14
15
17
18
11
13
16
20
15
14
22
21
14
21
18
17
18
21
17
13
20
12
17
13
12
12
13
18
18
11
13
11
14
14
14
12
18
14
14
18
22
14
14
18
16
20
15
11
12
11
14
16
13
12
13
12
16
22
18
13
12
11
11
11
13
16
14
12
18
13
