,Metropolitan Area,2004,2005,2006
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",185.1,215.3,230.2
38060,"Phoenix-Mesa-Scottsdale, AZ",169.4,247.4,268.2
38300,"Pittsburgh, PA",113.4,116.1,116.1
38340,"Pittsfield, MA ",192.8,207.3,212.9
38860,"Portland-South Portland-Biddeford, ME ",224.8,246.6,243.8
38900,"Portland-Vancouver-Beaverton, OR-WA ",206.5,244.9,280.8
39300,"Providence-New Bedford-Fall River, RI-MA ",276.9,293.4,289.6
39580,"Raleigh-Cary, NC ",169.9,194.9,213.8
39740,"Reading, PA ",121.1,136.6,143.2
39900,"Reno-Sparks, NV ",284.3,349.9,347.2
40060,"Richmond, VA ",170.7,201.9,225.5
40140,"Riverside-San Bernardino-Ontario, CA ",296.4,374.2,400.1
40380,"Rochester, NY",106.5,113.5,114.8
40420,"Rockford, IL",103.6,118.2,119.3
40900,"Sacramento--Arden-Arcade--Roseville, CA ",317,375.9,374.8
40980,"Saginaw-Saginaw Township North, MI ",,,
41180,"Saint Louis, MO-IL",128.7,141,148.4
41420,"Salem, OR ",154.6,177.7,212.9
41620,"Salt Lake City, UT ",158,173.9,203
41700,"San Antonio, TX",122.7,133.9,141.7
41740,"San Diego-Carlsbad-San Marcos, CA ",551.6,604.3,601.8
41860,"San Francisco-Oakland-Fremont, CA ",641.7,715.7,736.8
41940,"San Jose-Sunnyvale-Santa Clara, CA",698.5,744.5,775
42260,"Sarasota-Bradenton-Venice, FL ",255.7,354.2,334.3
42660,"Seattle-Tacoma-Bellevue, WA ",284.6,316.8,361.2
43340,"Shreveport-Bossier City, LA ",110.6,124.3,132.2
43620,"Sioux Falls, SD",129.2,135.8,138
43780,"South Bend-Mishawaka, IN",93.6,96.6,92.7
43900,"Spartanburg, SC ",110.8,121.2,126.7
44060,"Spokane, WA",128.5,156.4,184.1
44100,"Springfield, IL",103.3,106.4,105.4
44140,"Springfield, MA",180.3,201.8,209.6
44180,"Springfield, MO",114.1,121.1,124.8
45060,"Syracuse, NY",98.4,110.6,116.8
45220,"Tallahassee, FL",152.5,167.6,177.5
45300,"Tampa-St.Petersburg-Clearwater, FL",159.7,205.3,228.9
45780,"Toledo, OH",113.5,117.3,110
45820,"Topeka, KS",102.1,105.7,106.1
45940,"Trenton-Ewing, NJ ",234.2,261.1,289.6
46060,"Tucson, AZ",177.3,231.6,244.9
46140,"Tulsa, OK ",,,
47260,"Virginia Beach-Norfolk-Newport News, VA-NC ",163,197.2,235.5
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",339.8,425.8,431
47940,"Waterloo/Cedar Falls, IA",95.2,102.2,108.9
48620,"Wichita, KS",103.9,108,114.9
49340,"Worcester, MA",275.9,290.7,281.7
49420,"Yakima, WA",129.9,133.9,136.5
49660,"Youngstown-Warren-Boardman, OH-PA ",86,85.6,81.5
