"Name,Team",GP,PPG,FTMG,FTAG,FTM,FTA
"Josh Smith , ATL",67,16,3.6,5.1,239,345
"Gerald Wallace , CHA",68,17.8,4.2,6,284,410
"Al Harrington , GSW-IND",71,16.5,2.1,3.1,152,220
"Al Jefferson , BOS",66,15.8,3,4.3,196,284
"Udonis Haslem , MIA",75,10.7,1.8,2.6,135,197
"Chris Wilcox , SEA",75,13.2,2.8,4.1,213,311
"Larry Hughes , CLE",64,14.9,3,4.5,195,285
"Carlos Boozer , UTA",66,21.1,3.5,5.1,231,338
"* Paul Millsap , UTA",74,6.6,1.8,2.6,130,191
"Mikki Moore , NJN",71,9.5,2,2.9,140,206
"Nene Hilario , DEN",57,11.9,3,4.4,171,252
"Andrew Bynum , LAL",75,7.8,1.8,2.7,134,200
"Desmond Mason , NOK",75,13.7,2.9,4.3,214,323
"Ruben Patterson , MIL",73,14.4,2.8,4.4,206,320
"Tim Duncan , SA",75,20,4.6,7.1,343,535
"Pietrus , GSW",65,11.4,1.9,3,124,196
"Erick Dampier , DAL",72,7.2,1.6,2.6,116,185
"Anderson Varejao , CLE",75,6.7,2.1,3.3,154,247
"Darko Milicic , ORL",74,8,1.8,2.9,132,214
"Eddy Curry , NYK",73,19.2,4.9,8.1,359,590
"Alonzo Mourning , MIA",71,8.7,2.5,4.1,177,294
"Dwight Howard , ORL",75,17.5,4.7,8,356,597
"Emeka Okafor , CHA",61,14.8,2.6,4.4,158,269
"Shaquille O'Neal , MIA",36,17.2,3.2,7.5,116,270
