,Number of
Country,Reactors
Argentina,2
Armenia,1
Belgium,7
Brazil,2
Bulgaria,2
Canada,18
China,11
Czech Republic,6
Finland,4
France,59
Germany,17
Hungary,4
India,17
Japan,55
South Korea,20
Lithuania,1
Mexico,2
Netherlands,1
Pakistan,2
Romania,2
Russia,31
Slovakia,5
Slovenia,1
South Africa,2
Spain,8
Sweden,10
Switzerland,5
Taiwan,6
Ukraine,15
United Kingdom,19
United States,104
