Year,Rainfall
1923,0.75
1924,0.03
1925,0.53
1926,2.7
1927,9.03
1928,1.43
1929,2.15
1930,0.45
1931,3.25
1932,5.33
1933,0
1934,2.04
1935,2.23
1936,7.25
1937,7.87
1938,9.81
1939,1.13
1940,5.43
1941,12.42
1942,1.05
1943,3.07
1944,8.65
1945,3.34
1946,1.52
1947,0.86
1948,1.29
1949,1.41
1950,1.67
1951,1.48
1952,0.63
1953,0.33
1954,2.98
1955,0.68
1956,0.59
1957,1.47
1958,6.46
1959,3.32
1960,2.26
1961,0.15
1962,11.57
1963,2.88
1964,0
